issue_month,state_date,uncertainty_pressure,structural_fragility,liquidity_disruption,stabilization_strength,trajectory_fragility,dominant_field,signal_coherence,shock_intensity,structural_instability,erosion_strength,macro_stress_score,environmental_confidence,gov_state,gov_state_smooth
2008-08-01,2008-08-01,0.31,0.12,0.11,0.29,0.32,MIXED,0.97,0.28,0.31,0.36,0.2945,0.695425,CAUTIOUS,CAUTIOUS
2008-09-01,2008-08-29,0.31,0.0,0.07,0.34,0.32,TRAJECTORY_DEGRADATION,0.91,0.13,0.25,0.34,0.251,0.71065,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2008-10-01,2008-10-01,0.33,0.53,1.0,0.18,0.55,TRANSITIONAL,0.87,0.93,0.6,0.79,0.598,0.5762,DEFENSIVE,DEFENSIVE
2008-11-01,2008-10-31,0.38,1.0,1.0,0.01,0.48,MIXED,0.76,1.0,1.0,0.48,0.7394999999999999,0.494175,DEFENSIVE,DEFENSIVE
2008-12-01,2008-12-01,0.42,1.0,1.0,0.0,0.46,MIXED,0.76,1.0,1.0,0.48,0.747,0.46555,DEFENSIVE,DEFENSIVE
2009-01-01,2008-12-31,0.45,0.84,0.0,0.0,0.47,MIXED,0.76,0.11,0.7,0.47,0.5665,0.509225,DEFENSIVE,DEFENSIVE
2009-02-01,2009-01-30,0.43,0.72,0.07,0.0,0.48,MIXED,0.93,0.69,0.6,0.53,0.544,0.5301,DEFENSIVE,DEFENSIVE
2009-03-01,2009-02-27,0.44,1.0,0.13,0.0,0.49,TRANSITIONAL,0.83,0.85,0.95,0.55,0.6275000000000001,0.494375,DEFENSIVE,DEFENSIVE
2009-04-01,2009-04-01,0.46,0.72,0.06,0.0,0.46,MIXED,0.78,0.67,1.0,0.47,0.546,0.5099,DEFENSIVE,DEFENSIVE
2009-05-01,2009-05-01,0.5,0.92,0.0,0.0,0.48,MIXED,0.7,0.06,0.77,0.56,0.601,0.46465,DEFENSIVE,DEFENSIVE
2009-06-01,2009-06-01,0.47,0.51,0.0,0.0,0.48,MIXED,0.91,0.64,0.43,0.54,0.491,0.5226500000000001,DEFENSIVE,DEFENSIVE
2009-07-01,2009-07-01,0.48,0.0,0.0,0.05,0.44,TRANSITIONAL,0.81,0.08,0.21,0.53,0.3505,0.565325,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2009-08-01,2009-07-31,0.49,0.0,0.0,0.1,0.41,TRANSITIONAL,0.78,0.0,0.0,0.47,0.3395,0.562675,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2009-09-01,2009-09-01,0.49,0.0,0.0,0.15,0.33,TRANSITIONAL,0.82,0.0,0.02,0.39,0.316,0.5709,CAUTIOUS,CAUTIOUS
2009-10-01,2009-10-01,0.46,0.0,0.0,0.2,0.22,TRAJECTORY_DEGRADATION,0.93,0.13,0.1,0.27,0.279,0.6033499999999999,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2009-11-01,2009-10-30,0.44,0.06,0.0,0.12,0.29,MIXED,0.97,0.44,0.36,0.38,0.315,0.60375,CAUTIOUS,CAUTIOUS
2009-12-01,2009-12-01,0.44,0.0,0.0,0.17,0.3,TRANSITIONAL,0.83,0.05,0.0,0.39,0.2945,0.6109249999999999,CAUTIOUS,CAUTIOUS
2010-01-01,2009-12-31,0.43,0.0,0.0,0.22,0.26,TRANSITIONAL,0.84,0.0,0.0,0.33,0.2764999999999999,0.623725,CAUTIOUS,CAUTIOUS
2010-02-01,2010-02-01,0.42,0.05,0.0,0.27,0.19,MIXED,0.9,0.09,0.33,0.24,0.265,0.63425,CAUTIOUS,CAUTIOUS
2010-03-01,2010-03-01,0.44,0.0,0.0,0.32,0.35,TRANSITIONAL,0.77,0.0,0.0,0.48,0.282,0.6153,CAUTIOUS,CAUTIOUS
2010-04-01,2010-04-01,0.47,0.0,0.0,0.37,0.37,TRANSITIONAL,0.76,0.0,0.0,0.5,0.286,0.5944,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-05-01,2010-04-30,0.45,0.0,0.0,0.42,0.29,TRAJECTORY_DEGRADATION,0.88,0.2,0.14,0.41,0.2575,0.617375,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-06-01,2010-06-01,0.49,1.0,0.06,0.34,0.09,TRANSITIONAL,0.69,0.25,0.83,0.11,0.4985,0.5070250000000001,DEFENSIVE,DEFENSIVE
2010-07-01,2010-07-01,0.46,0.0,0.02,0.39,0.24,TRAJECTORY_DEGRADATION,0.93,0.11,0.18,0.29,0.2575,0.610875,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-08-01,2010-07-30,0.46,0.0,0.0,0.44,0.39,TRANSITIONAL,0.8,0.0,0.1,0.46,0.277,0.60405,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-09-01,2010-09-01,0.43,0.02,0.0,0.49,0.2,MIXED,0.96,0.22,0.31,0.24,0.229,0.64035,CAUTIOUS,CAUTIOUS
2010-10-01,2010-10-01,0.41,0.0,0.0,0.54,0.18,TRAJECTORY_DEGRADATION,0.91,0.0,0.0,0.2,0.2074999999999999,0.660875,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-11-01,2010-11-01,0.38,0.0,0.0,0.59,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.1845,0.688425,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2010-12-01,2010-12-01,0.35,0.0,0.0,0.64,0.1,NONE,0.98,0.14,0.15,0.11,0.1615,0.715975,CAUTIOUS,CAUTIOUS
2011-01-01,2010-12-31,0.33,0.0,0.0,0.69,0.09,NONE,0.95,0.0,0.0,0.1,0.147,0.73405,CAUTIOUS,CAUTIOUS
2011-02-01,2011-02-01,0.31,0.0,0.0,0.74,0.07,NONE,0.96,0.09,0.0,0.09,0.1305,0.752825,NORMAL,NORMAL
2011-03-01,2011-03-01,0.3,0.0,0.0,0.79,0.1,NONE,0.96,0.06,0.03,0.13,0.1265,0.760725,NORMAL,NORMAL
2011-04-01,2011-04-01,0.31,0.0,0.0,0.84,0.19,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.25,0.1395,0.749675,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-05-01,2011-04-29,0.31,0.0,0.0,0.89,0.16,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.21,0.126,0.7544,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-06-01,2011-06-01,0.31,0.0,0.0,0.94,0.19,TRAJECTORY_DEGRADATION,0.9,0.08,0.04,0.26,0.1245,0.754925,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-07-01,2011-07-01,0.3,0.0,0.0,0.99,0.11,MIXED,0.98,0.13,0.19,0.15,0.0985,0.770525,NORMAL,NORMAL
2011-08-01,2011-08-01,0.29,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.94,0.05,0.03,0.16,0.0985,0.777025,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-09-01,2011-09-01,0.3,0.47,0.0,1.0,0.24,MIXED,0.91,0.17,0.39,0.34,0.2405,0.720825,CAUTIOUS,CAUTIOUS
2011-10-01,2011-09-30,0.3,0.56,0.0,0.9,0.45,MIXED,0.94,0.49,0.47,0.6,0.32,0.693,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-11-01,2011-11-01,0.32,0.55,0.1,0.78,0.5,MIXED,0.92,0.61,0.46,0.66,0.3655,0.664075,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2011-12-01,2011-12-01,0.33,0.46,0.21,0.69,0.48,TRAJECTORY_DEGRADATION,0.88,0.31,0.38,0.6,0.3715,0.655475,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-01-01,2011-12-30,0.38,0.0,0.0,0.74,0.49,TRANSITIONAL,0.77,0.05,0.17,0.58,0.232,0.6718,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-02-01,2012-02-01,0.41,0.0,0.0,0.79,0.43,TRANSITIONAL,0.75,0.0,0.0,0.52,0.22,0.6565,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-03-01,2012-03-01,0.42,0.0,0.0,0.84,0.36,TRANSITIONAL,0.81,0.0,0.0,0.4,0.2009999999999999,0.65665,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-04-01,2012-03-30,0.4,0.0,0.0,0.89,0.2,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.23,0.1565,0.685225,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-05-01,2012-05-01,0.38,0.0,0.0,0.94,0.19,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.22,0.142,0.7033,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2012-06-01,2012-06-01,0.35,0.0,0.0,0.99,0.13,MIXED,0.99,0.14,0.13,0.15,0.1149999999999999,0.7322500000000001,CAUTIOUS,CAUTIOUS
2012-07-01,2012-06-29,0.33,0.0,0.0,1.0,0.12,MIXED,0.95,0.15,0.25,0.14,0.1065,0.7482249999999999,CAUTIOUS,CAUTIOUS
2012-08-01,2012-08-01,0.32,0.0,0.0,1.0,0.11,NONE,0.96,0.07,0.02,0.12,0.102,0.7563,NORMAL,NORMAL
2012-09-01,2012-08-31,0.31,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.08,0.0915,0.766475,NORMAL,NORMAL
2012-10-01,2012-10-01,0.3,0.0,0.0,1.0,0.05,NONE,0.98,0.0,0.0,0.05,0.0849999999999999,0.77525,NORMAL,NORMAL
2012-11-01,2012-11-01,0.29,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.0824999999999999,0.782625,NORMAL,NORMAL
2012-12-01,2012-11-30,0.28,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.08,0.79,NORMAL,NORMAL
2013-01-01,2012-12-31,0.27,0.0,0.0,1.0,0.05,NONE,0.98,0.05,0.09,0.06,0.0775,0.797375,NORMAL,NORMAL
2013-02-01,2013-02-01,0.27,0.0,0.0,1.0,0.04,NONE,0.98,0.0,0.0,0.04,0.0755,0.798075,NORMAL,NORMAL
2013-03-01,2013-03-01,0.27,0.0,0.0,1.0,0.04,NONE,0.98,0.07,0.08,0.04,0.0755,0.798075,NORMAL,NORMAL
2013-04-01,2013-04-01,0.25,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.0665,0.814225,NORMAL,NORMAL
2013-05-01,2013-05-01,0.25,0.0,0.0,1.0,0.09,NONE,0.94,0.0,0.0,0.12,0.0805,0.809325,NORMAL,NORMAL
2013-06-01,2013-05-31,0.26,0.0,0.0,1.0,0.07,NONE,0.95,0.0,0.0,0.1,0.079,0.80335,NORMAL,NORMAL
2013-07-01,2013-07-01,0.28,0.0,0.0,1.0,0.25,TRAJECTORY_DEGRADATION,0.86,0.0,0.22,0.34,0.12,0.776,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2013-08-01,2013-08-01,0.3,0.0,0.0,1.0,0.17,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.23,0.109,0.76685,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2013-09-01,2013-08-30,0.33,0.0,0.0,1.0,0.21,TRANSITIONAL,0.87,0.0,0.0,0.28,0.1245,0.741925,CAUTIOUS,CAUTIOUS
2013-10-01,2013-10-01,0.34,0.0,0.0,1.0,0.1,NONE,0.94,0.0,0.0,0.13,0.105,0.74225,CAUTIOUS,CAUTIOUS
2013-11-01,2013-11-01,0.34,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.08,0.099,0.74435,CAUTIOUS,CAUTIOUS
2013-12-01,2013-11-29,0.33,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0945,0.752425,NORMAL,NORMAL
2014-01-01,2013-12-31,0.33,0.0,0.0,1.0,0.03,NONE,0.99,0.0,0.0,0.03,0.0885,0.754525,NORMAL,NORMAL
2014-02-01,2014-01-31,0.32,0.0,0.0,1.0,0.05,NONE,0.98,0.05,0.02,0.07,0.09,0.7605,NORMAL,NORMAL
2014-03-01,2014-02-28,0.34,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.111,0.74015,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-04-01,2014-04-01,0.34,0.0,0.0,1.0,0.11,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.107,0.7415499999999999,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-05-01,2014-05-01,0.34,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.18,0.111,0.74015,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-06-01,2014-05-30,0.33,0.0,0.0,1.0,0.1,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.14,0.1025,0.749625,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-07-01,2014-07-01,0.31,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.91,0.0,0.0,0.19,0.1035,0.762275,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-08-01,2014-08-01,0.3,0.0,0.0,1.0,0.12,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.18,0.099,0.77035,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-09-01,2014-08-29,0.29,0.0,0.0,1.0,0.12,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.0965,0.777725,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-10-01,2014-10-01,0.3,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.91,0.07,0.0,0.21,0.103,0.76895,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-11-01,2014-10-31,0.3,0.0,0.0,1.0,0.28,TRAJECTORY_DEGRADATION,0.85,0.0,0.14,0.36,0.131,0.75915,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2014-12-01,2014-12-01,0.3,0.0,0.0,1.0,0.19,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.24,0.113,0.76545,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-01-01,2014-12-31,0.29,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.94,0.0,0.03,0.15,0.0985,0.777025,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-02-01,2015-01-30,0.27,0.0,0.0,1.0,0.22,TRAJECTORY_DEGRADATION,0.94,0.1,0.16,0.24,0.1115,0.7854749999999999,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-03-01,2015-02-27,0.26,0.0,0.0,1.0,0.15,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.095,0.79775,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-04-01,2015-04-01,0.26,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.093,0.79845,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-05-01,2015-05-01,0.26,0.0,0.0,1.0,0.08,NONE,0.96,0.0,0.0,0.09,0.081,0.80265,NORMAL,NORMAL
2015-06-01,2015-06-01,0.25,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0745,0.8114250000000001,NORMAL,NORMAL
2015-07-01,2015-07-01,0.24,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.078,0.8167,NORMAL,NORMAL
2015-08-01,2015-07-31,0.23,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.0675,0.826875,NORMAL,NORMAL
2015-09-01,2015-09-01,0.29,0.34,0.26,0.91,0.06,MIXED,0.73,0.66,0.6,0.07,0.222,0.7338,CAUTIOUS,CAUTIOUS
2015-10-01,2015-10-01,0.32,0.0,0.0,0.96,0.2,TRANSITIONAL,0.82,0.09,0.53,0.25,0.126,0.7479,CAUTIOUS,CAUTIOUS
2015-11-01,2015-10-30,0.32,0.0,0.0,1.0,0.21,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.26,0.122,0.7493,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2015-12-01,2015-12-01,0.3,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.103,0.76895,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-01-01,2015-12-31,0.3,0.0,0.0,1.0,0.23,TRAJECTORY_DEGRADATION,0.88,0.0,0.19,0.28,0.121,0.76265,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-02-01,2016-02-01,0.29,0.32,0.0,1.0,0.31,TRAJECTORY_DEGRADATION,0.89,0.12,0.31,0.37,0.2145,0.736425,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-03-01,2016-03-01,0.29,0.0,0.0,1.0,0.29,TRAJECTORY_DEGRADATION,0.9,0.1,0.23,0.34,0.1305,0.765825,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-04-01,2016-04-01,0.31,0.0,0.0,1.0,0.3,TRAJECTORY_DEGRADATION,0.83,0.0,0.0,0.36,0.1375,0.750375,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-05-01,2016-04-29,0.29,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.1005,0.7763249999999999,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-06-01,2016-06-01,0.28,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.096,0.7844,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-07-01,2016-07-01,0.27,0.09,0.0,1.0,0.17,MIXED,0.94,0.24,0.36,0.23,0.124,0.7811,NORMAL,NORMAL
2016-08-01,2016-08-01,0.27,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.0855,0.794575,NORMAL,NORMAL
2016-09-01,2016-09-01,0.28,0.0,0.0,1.0,0.08,NONE,0.94,0.0,0.0,0.12,0.086,0.7879,NORMAL,NORMAL
2016-10-01,2016-09-30,0.28,0.0,0.0,1.0,0.1,TRAJECTORY_DEGRADATION,0.94,0.05,0.0,0.15,0.09,0.7865,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-11-01,2016-11-01,0.28,0.0,0.0,1.0,0.09,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.14,0.088,0.7872,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2016-12-01,2016-12-01,0.27,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0795,0.796675,NORMAL,NORMAL
2017-01-01,2016-12-30,0.24,0.0,0.0,1.0,0.04,NONE,0.98,0.0,0.0,0.05,0.068,0.8202,NORMAL,NORMAL
2017-02-01,2017-02-01,0.22,0.0,0.0,1.0,0.01,NONE,0.99,0.0,0.0,0.02,0.057,0.83705,NORMAL,NORMAL
2017-03-01,2017-03-01,0.2,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.054,0.8511,NORMAL,NORMAL
2017-04-01,2017-03-31,0.19,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.0515,0.858475,NORMAL,NORMAL
2017-05-01,2017-05-01,0.18,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.049,0.86585,NORMAL,NORMAL
2017-06-01,2017-06-01,0.17,0.0,0.0,1.0,0.05,NONE,0.96,0.0,0.0,0.08,0.0525,0.8711249999999999,NORMAL,NORMAL
2017-07-01,2017-06-30,0.16,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.044,0.8806,NORMAL,NORMAL
2017-08-01,2017-08-01,0.16,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.07,0.05,0.8785,NORMAL,NORMAL
2017-09-01,2017-09-01,0.16,0.0,0.0,1.0,0.09,NONE,0.94,0.0,0.0,0.13,0.0579999999999999,0.8757,NORMAL,NORMAL
2017-10-01,2017-09-29,0.15,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.09,0.0515,0.884475,NORMAL,NORMAL
2017-11-01,2017-11-01,0.16,0.0,0.0,1.0,0.08,NONE,0.95,0.0,0.0,0.11,0.056,0.8764,NORMAL,NORMAL
2017-12-01,2017-12-01,0.15,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.03,0.0414999999999999,0.887975,NORMAL,NORMAL
2018-01-01,2017-12-29,0.14,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.039,0.89535,NORMAL,NORMAL
2018-02-01,2018-02-01,0.13,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.0365,0.902725,NORMAL,NORMAL
2018-03-01,2018-03-01,0.18,0.0,0.0,1.0,0.34,TRAJECTORY_DEGRADATION,0.84,0.2,0.16,0.51,0.113,0.84345,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-04-01,2018-03-29,0.19,0.08,0.08,0.92,0.27,MIXED,0.98,0.39,0.35,0.39,0.1455,0.825575,NORMAL,NORMAL
2018-05-01,2018-05-01,0.25,0.0,0.0,0.97,0.4,TRAJECTORY_DEGRADATION,0.73,0.0,0.0,0.58,0.147,0.78605,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-06-01,2018-06-01,0.26,0.0,0.0,1.0,0.22,TRAJECTORY_DEGRADATION,0.87,0.07,0.0,0.31,0.109,0.79285,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-07-01,2018-06-29,0.26,0.0,0.0,1.0,0.18,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.26,0.101,0.79565,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-08-01,2018-08-01,0.26,0.0,0.0,1.0,0.21,TRAJECTORY_DEGRADATION,0.87,0.0,0.0,0.28,0.107,0.79355,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-09-01,2018-08-31,0.26,0.0,0.0,1.0,0.16,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.21,0.097,0.79705,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-10-01,2018-10-01,0.25,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.0805,0.809325,NORMAL,NORMAL
2018-11-01,2018-11-01,0.28,0.34,0.0,0.93,0.4,MIXED,0.82,0.16,0.33,0.59,0.2455,0.732075,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
2018-12-01,2018-11-30,0.33,0.0,0.0,0.86,0.46,TRANSITIONAL,0.78,0.1,0.23,0.61,0.1955,0.7170749999999999,HIGH_UNCERTAINTY_REVIEW,HIGH_UNCERTAINTY_REVIEW
