issue_month,state_date,uncertainty_pressure,structural_fragility,liquidity_disruption,stabilization_strength,trajectory_fragility,dominant_field,signal_coherence,shock_intensity,structural_instability,erosion_strength,macro_stress_score,environmental_confidence
2009-12-01,2009-12-01,0.44,0.0,0.0,0.17,0.3,TRANSITIONAL,0.83,0.05,0.0,0.39,0.2945,0.6109249999999999
2010-01-01,2009-12-31,0.43,0.0,0.0,0.22,0.26,TRANSITIONAL,0.84,0.0,0.0,0.33,0.27649999999999997,0.623725
2010-02-01,2010-02-01,0.42,0.05,0.0,0.27,0.19,MIXED,0.9,0.09,0.33,0.24,0.265,0.63425
2010-03-01,2010-03-01,0.44,0.0,0.0,0.32,0.35,TRANSITIONAL,0.77,0.0,0.0,0.48,0.282,0.6153
2010-04-01,2010-04-01,0.47,0.0,0.0,0.37,0.37,TRANSITIONAL,0.76,0.0,0.0,0.5,0.28600000000000003,0.5944
2010-05-01,2010-04-30,0.45,0.0,0.0,0.42,0.29,TRAJECTORY_DEGRADATION,0.88,0.2,0.14,0.41,0.2575,0.617375
2010-06-01,2010-06-01,0.49,1.0,0.06,0.34,0.09,TRANSITIONAL,0.69,0.25,0.83,0.11,0.4985,0.5070250000000001
2010-07-01,2010-07-01,0.46,0.0,0.02,0.39,0.24,TRAJECTORY_DEGRADATION,0.93,0.11,0.18,0.29,0.2575,0.610875
2010-08-01,2010-07-30,0.46,0.0,0.0,0.44,0.39,TRANSITIONAL,0.8,0.0,0.1,0.46,0.277,0.60405
2010-09-01,2010-09-01,0.43,0.02,0.0,0.49,0.2,MIXED,0.96,0.22,0.31,0.24,0.22900000000000004,0.64035
2010-10-01,2010-10-01,0.41,0.0,0.0,0.54,0.18,TRAJECTORY_DEGRADATION,0.91,0.0,0.0,0.2,0.20749999999999996,0.660875
2010-11-01,2010-11-01,0.38,0.0,0.0,0.59,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.1845,0.688425
2010-12-01,2010-12-01,0.35,0.0,0.0,0.64,0.1,NONE,0.98,0.14,0.15,0.11,0.1615,0.715975
2011-01-01,2010-12-31,0.33,0.0,0.0,0.69,0.09,NONE,0.95,0.0,0.0,0.1,0.14700000000000002,0.73405
2011-02-01,2011-02-01,0.31,0.0,0.0,0.74,0.07,NONE,0.96,0.09,0.0,0.09,0.1305,0.752825
2011-03-01,2011-03-01,0.3,0.0,0.0,0.79,0.1,NONE,0.96,0.06,0.03,0.13,0.1265,0.760725
2011-04-01,2011-04-01,0.31,0.0,0.0,0.84,0.19,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.25,0.1395,0.749675
2011-05-01,2011-04-29,0.31,0.0,0.0,0.89,0.16,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.21,0.126,0.7544
2011-06-01,2011-06-01,0.31,0.0,0.0,0.94,0.19,TRAJECTORY_DEGRADATION,0.9,0.08,0.04,0.26,0.12450000000000001,0.754925
2011-07-01,2011-07-01,0.3,0.0,0.0,0.99,0.11,MIXED,0.98,0.13,0.19,0.15,0.0985,0.770525
2011-08-01,2011-08-01,0.29,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.94,0.05,0.03,0.16,0.0985,0.777025
2011-09-01,2011-09-01,0.3,0.47,0.0,1.0,0.24,MIXED,0.91,0.17,0.39,0.34,0.2405,0.720825
2011-10-01,2011-09-30,0.3,0.56,0.0,0.9,0.45,MIXED,0.94,0.49,0.47,0.6,0.32000000000000006,0.693
2011-11-01,2011-11-01,0.32,0.55,0.1,0.78,0.5,MIXED,0.92,0.61,0.46,0.66,0.3655,0.664075
2011-12-01,2011-12-01,0.33,0.46,0.21,0.69,0.48,TRAJECTORY_DEGRADATION,0.88,0.31,0.38,0.6,0.3715,0.655475
2012-01-01,2011-12-30,0.38,0.0,0.0,0.74,0.49,TRANSITIONAL,0.77,0.05,0.17,0.58,0.232,0.6718
2012-02-01,2012-02-01,0.41,0.0,0.0,0.79,0.43,TRANSITIONAL,0.75,0.0,0.0,0.52,0.22,0.6565
2012-03-01,2012-03-01,0.42,0.0,0.0,0.84,0.36,TRANSITIONAL,0.81,0.0,0.0,0.4,0.20099999999999998,0.65665
2012-04-01,2012-03-30,0.4,0.0,0.0,0.89,0.2,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.23,0.1565,0.685225
2012-05-01,2012-05-01,0.38,0.0,0.0,0.94,0.19,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.22,0.14200000000000002,0.7033
2012-06-01,2012-06-01,0.35,0.0,0.0,0.99,0.13,MIXED,0.99,0.14,0.13,0.15,0.11499999999999999,0.7322500000000001
2012-07-01,2012-06-29,0.33,0.0,0.0,1.0,0.12,MIXED,0.95,0.15,0.25,0.14,0.10650000000000001,0.7482249999999999
2012-08-01,2012-08-01,0.32,0.0,0.0,1.0,0.11,NONE,0.96,0.07,0.02,0.12,0.10200000000000001,0.7563
2012-09-01,2012-08-31,0.31,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.08,0.0915,0.766475
2012-10-01,2012-10-01,0.3,0.0,0.0,1.0,0.05,NONE,0.98,0.0,0.0,0.05,0.08499999999999999,0.77525
2012-11-01,2012-11-01,0.29,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.08249999999999999,0.782625
2012-12-01,2012-11-30,0.28,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.08000000000000002,0.79
2013-01-01,2012-12-31,0.27,0.0,0.0,1.0,0.05,NONE,0.98,0.05,0.09,0.06,0.07750000000000001,0.797375
2013-02-01,2013-02-01,0.27,0.0,0.0,1.0,0.04,NONE,0.98,0.0,0.0,0.04,0.07550000000000001,0.798075
2013-03-01,2013-03-01,0.27,0.0,0.0,1.0,0.04,NONE,0.98,0.07,0.08,0.04,0.07550000000000001,0.798075
2013-04-01,2013-04-01,0.25,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.0665,0.814225
2013-05-01,2013-05-01,0.25,0.0,0.0,1.0,0.09,NONE,0.94,0.0,0.0,0.12,0.0805,0.809325
2013-06-01,2013-05-31,0.26,0.0,0.0,1.0,0.07,NONE,0.95,0.0,0.0,0.1,0.079,0.80335
2013-07-01,2013-07-01,0.28,0.0,0.0,1.0,0.25,TRAJECTORY_DEGRADATION,0.86,0.0,0.22,0.34,0.12000000000000001,0.776
2013-08-01,2013-08-01,0.3,0.0,0.0,1.0,0.17,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.23,0.109,0.76685
2013-09-01,2013-08-30,0.33,0.0,0.0,1.0,0.21,TRANSITIONAL,0.87,0.0,0.0,0.28,0.1245,0.741925
2013-10-01,2013-10-01,0.34,0.0,0.0,1.0,0.1,NONE,0.94,0.0,0.0,0.13,0.10500000000000001,0.74225
2013-11-01,2013-11-01,0.34,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.08,0.099,0.74435
2013-12-01,2013-11-29,0.33,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0945,0.752425
2014-01-01,2013-12-31,0.33,0.0,0.0,1.0,0.03,NONE,0.99,0.0,0.0,0.03,0.08850000000000001,0.754525
2014-02-01,2014-01-31,0.32,0.0,0.0,1.0,0.05,NONE,0.98,0.05,0.02,0.07,0.09,0.7605
2014-03-01,2014-02-28,0.34,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.11100000000000002,0.74015
2014-04-01,2014-04-01,0.34,0.0,0.0,1.0,0.11,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.10700000000000001,0.7415499999999999
2014-05-01,2014-05-01,0.34,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.18,0.11100000000000002,0.74015
2014-06-01,2014-05-30,0.33,0.0,0.0,1.0,0.1,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.14,0.10250000000000001,0.749625
2014-07-01,2014-07-01,0.31,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.91,0.0,0.0,0.19,0.10350000000000001,0.762275
2014-08-01,2014-08-01,0.3,0.0,0.0,1.0,0.12,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.18,0.099,0.77035
2014-09-01,2014-08-29,0.29,0.0,0.0,1.0,0.12,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.0965,0.777725
2014-10-01,2014-10-01,0.3,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.91,0.07,0.0,0.21,0.10300000000000001,0.76895
2014-11-01,2014-10-31,0.3,0.0,0.0,1.0,0.28,TRAJECTORY_DEGRADATION,0.85,0.0,0.14,0.36,0.131,0.75915
2014-12-01,2014-12-01,0.3,0.0,0.0,1.0,0.19,TRAJECTORY_DEGRADATION,0.89,0.0,0.0,0.24,0.113,0.76545
2015-01-01,2014-12-31,0.29,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.94,0.0,0.03,0.15,0.0985,0.777025
2015-02-01,2015-01-30,0.27,0.0,0.0,1.0,0.22,TRAJECTORY_DEGRADATION,0.94,0.1,0.16,0.24,0.11150000000000002,0.7854749999999999
2015-03-01,2015-02-27,0.26,0.0,0.0,1.0,0.15,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.17,0.095,0.79775
2015-04-01,2015-04-01,0.26,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.093,0.79845
2015-05-01,2015-05-01,0.26,0.0,0.0,1.0,0.08,NONE,0.96,0.0,0.0,0.09,0.081,0.80265
2015-06-01,2015-06-01,0.25,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0745,0.8114250000000001
2015-07-01,2015-07-01,0.24,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.078,0.8167
2015-08-01,2015-07-31,0.23,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.06,0.0675,0.826875
2015-09-01,2015-09-01,0.29,0.34,0.26,0.91,0.06,MIXED,0.73,0.66,0.6,0.07,0.222,0.7338
2015-10-01,2015-10-01,0.32,0.0,0.0,0.96,0.2,TRANSITIONAL,0.82,0.09,0.53,0.25,0.126,0.7479
2015-11-01,2015-10-30,0.32,0.0,0.0,1.0,0.21,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.26,0.122,0.7493
2015-12-01,2015-12-01,0.3,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.10300000000000001,0.76895
2016-01-01,2015-12-31,0.3,0.0,0.0,1.0,0.23,TRAJECTORY_DEGRADATION,0.88,0.0,0.19,0.28,0.121,0.76265
2016-02-01,2016-02-01,0.29,0.32,0.0,1.0,0.31,TRAJECTORY_DEGRADATION,0.89,0.12,0.31,0.37,0.2145,0.736425
2016-03-01,2016-03-01,0.29,0.0,0.0,1.0,0.29,TRAJECTORY_DEGRADATION,0.9,0.1,0.23,0.34,0.1305,0.765825
2016-04-01,2016-04-01,0.31,0.0,0.0,1.0,0.3,TRAJECTORY_DEGRADATION,0.83,0.0,0.0,0.36,0.1375,0.750375
2016-05-01,2016-04-29,0.29,0.0,0.0,1.0,0.14,TRAJECTORY_DEGRADATION,0.92,0.0,0.0,0.16,0.1005,0.7763249999999999
2016-06-01,2016-06-01,0.28,0.0,0.0,1.0,0.13,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.15,0.096,0.7844
2016-07-01,2016-07-01,0.27,0.09,0.0,1.0,0.17,MIXED,0.94,0.24,0.36,0.23,0.124,0.7811
2016-08-01,2016-08-01,0.27,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.0855,0.794575
2016-09-01,2016-09-01,0.28,0.0,0.0,1.0,0.08,NONE,0.94,0.0,0.0,0.12,0.08600000000000001,0.7879
2016-10-01,2016-09-30,0.28,0.0,0.0,1.0,0.1,TRAJECTORY_DEGRADATION,0.94,0.05,0.0,0.15,0.09000000000000001,0.7865
2016-11-01,2016-11-01,0.28,0.0,0.0,1.0,0.09,TRAJECTORY_DEGRADATION,0.93,0.0,0.0,0.14,0.08800000000000001,0.7872
2016-12-01,2016-12-01,0.27,0.0,0.0,1.0,0.06,NONE,0.97,0.0,0.0,0.07,0.0795,0.796675
2017-01-01,2016-12-30,0.24,0.0,0.0,1.0,0.04,NONE,0.98,0.0,0.0,0.05,0.068,0.8202
2017-02-01,2017-02-01,0.22,0.0,0.0,1.0,0.01,NONE,0.99,0.0,0.0,0.02,0.057,0.83705
2017-03-01,2017-03-01,0.2,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.054000000000000006,0.8511
2017-04-01,2017-03-31,0.19,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.051500000000000004,0.858475
2017-05-01,2017-05-01,0.18,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.049,0.86585
2017-06-01,2017-06-01,0.17,0.0,0.0,1.0,0.05,NONE,0.96,0.0,0.0,0.08,0.052500000000000005,0.8711249999999999
2017-07-01,2017-06-30,0.16,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.044,0.8806
2017-08-01,2017-08-01,0.16,0.0,0.0,1.0,0.05,NONE,0.97,0.0,0.0,0.07,0.05,0.8785
2017-09-01,2017-09-01,0.16,0.0,0.0,1.0,0.09,NONE,0.94,0.0,0.0,0.13,0.057999999999999996,0.8757
2017-10-01,2017-09-29,0.15,0.0,0.0,1.0,0.07,NONE,0.96,0.0,0.0,0.09,0.051500000000000004,0.884475
2017-11-01,2017-11-01,0.16,0.0,0.0,1.0,0.08,NONE,0.95,0.0,0.0,0.11,0.056,0.8764
2017-12-01,2017-12-01,0.15,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.03,0.041499999999999995,0.887975
2018-01-01,2017-12-29,0.14,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.03900000000000001,0.89535
2018-02-01,2018-02-01,0.13,0.0,0.0,1.0,0.02,NONE,0.99,0.0,0.0,0.02,0.036500000000000005,0.902725
2018-03-01,2018-03-01,0.18,0.0,0.0,1.0,0.34,TRAJECTORY_DEGRADATION,0.84,0.2,0.16,0.51,0.113,0.84345
2018-04-01,2018-03-29,0.19,0.08,0.08,0.92,0.27,MIXED,0.98,0.39,0.35,0.39,0.1455,0.825575
2018-05-01,2018-05-01,0.25,0.0,0.0,0.97,0.4,TRAJECTORY_DEGRADATION,0.73,0.0,0.0,0.58,0.14700000000000002,0.78605
2018-06-01,2018-06-01,0.26,0.0,0.0,1.0,0.22,TRAJECTORY_DEGRADATION,0.87,0.07,0.0,0.31,0.10900000000000001,0.79285
2018-07-01,2018-06-29,0.26,0.0,0.0,1.0,0.18,TRAJECTORY_DEGRADATION,0.88,0.0,0.0,0.26,0.101,0.79565
2018-08-01,2018-08-01,0.26,0.0,0.0,1.0,0.21,TRAJECTORY_DEGRADATION,0.87,0.0,0.0,0.28,0.10700000000000001,0.79355
2018-09-01,2018-08-31,0.26,0.0,0.0,1.0,0.16,TRAJECTORY_DEGRADATION,0.9,0.0,0.0,0.21,0.097,0.79705
2018-10-01,2018-10-01,0.25,0.0,0.0,1.0,0.09,NONE,0.95,0.0,0.0,0.11,0.0805,0.809325
2018-11-01,2018-11-01,0.28,0.34,0.0,0.93,0.4,MIXED,0.82,0.16,0.33,0.59,0.24550000000000002,0.732075
2018-12-01,2018-11-30,0.33,0.0,0.0,0.86,0.46,TRANSITIONAL,0.78,0.1,0.23,0.61,0.1955,0.7170749999999999
